Zip Code,Population below poverty level,Median household income,"Non-White, Non-Hispanic or Latino","Hispanic or Latino, of any race",Population with disability,Unemployment,Large households (5+ members),"Homes affordable to people earning less than $50,000","Rentals affordable to people earning less than $25,000",Rent-restricted units,Housing Choice Voucher holders,Median rent,Median home value,Percentage of rental units in poor condition,"Percent change in number of housing units, 2000-2012",Owner units affordable to average retail/service worker,Rental units affordable to average retail/service worker,Rental units affordable to average artist,Owner units affordable to average artist,Rental units affordable to average teacher,Owner units affordable to average teacher,Rental units affordable to average tech worker,Owner units affordable to average tech worker,"Change in percentage of population below poverty, 2000-2012","Change in median rent, 2000-2012","Change in median home value, 2000-2012",Percentage of homes within 1/4-mi of transit stop,Average monthly transportation cost,Percentage of housing and transportation costs that is transportation-related,Longitude,Latitude
78722,19%,"44,917",18%,19%,11%,8%,3%,7%,11%,12%,1%,930,"265,100",0.90%,6%,0%,8%,31%,1%,65%,6%,97%,37%,8%,40%,127%,98%,590,33%,-97.7226581,30.28281933
78723,29%,"41,869",27%,46%,10%,10%,13%,33%,22%,20%,7%,817,"176,500",1.30%,13%,1%,18%,44%,4%,82%,28%,99%,83%,49%,28%,107%,84%,668,43%,-97.68149648,30.31209466
78727,11%,"65,687",25%,20%,7%,6%,5%,32%,2%,7%,2%,"1,050","198,500",0.40%,39%,0%,1%,11%,1%,67%,29%,99%,90%,181%,13%,61%,24%,708,41%,-97.704184,30.426674
78728,14%,"47,405",26%,28%,9%,6%,4%,46%,4%,6%,1%,901,"168,600",0%,24%,0%,2%,24%,1%,83%,35%,99%,100%,302%,16%,30%,28%,668,40%,-97.6819,30.4571
78729,8%,"57,358",22%,17%,7%,7%,7%,26%,3%,0%,0%,"1,008","192,300",0.10%,28%,0%,2%,17%,1%,73%,22%,100%,96%,116%,12%,43%,13%,747,37%,-97.7471,30.4647
78730,4%,"119,573",13%,5%,4%,3%,9%,19%,0%,0%,0%,"1,106","570,400",0.20%,78%,0%,0%,3%,1%,64%,17%,99%,25%,283%,22%,44%,2%,786,34%,-97.8395,30.3733
78731,9%,"78,265",12%,9%,8%,4%,2%,13%,4%,0%,0%,"1,016","436,800",0.50%,8%,0%,2%,24%,2%,67%,12%,97%,26%,26%,31%,68%,44%,747,32%,-97.751778,30.317036
78732,3%,"127,726",13%,9%,3%,5%,15%,0%,0%,0%,0%,"1,688","388,600",0%,239%,0%,0%,0%,0%,26%,0%,80%,15%,1242%,105%,75%,0%,786,33%,-97.695944,30.295094
78735,6%,"74,571",9%,20%,7%,4%,10%,8%,4%,5%,1%,"1,122","379,900",0.10%,64%,2%,4%,7%,2%,62%,5%,97%,23%,96%,4%,85%,9%,747,38%,-97.8613,30.2573
78739,1%,"126,525",14%,15%,4%,4%,13%,0%,0%,0%,0%,"2,000","350,500",0%,108%,0%,0%,0%,0%,8%,0%,71%,11%,46%,0%,72%,8%,786,34%,-97.69794224,30.23798934
78741,40%,"30,183",16%,62%,9%,9%,10%,76%,15%,21%,3%,835,"120,200",0.60%,18%,28%,11%,40%,39%,86%,76%,100%,93%,45%,28%,58%,80%,668,43%,-97.7145,30.2259
78742,37%,"34,076",4%,70%,7%,11%,18%,50%,40%,0%,3%,639,"54,400",1.30%,57%,50%,23%,76%,50%,100%,50%,100%,100%,165%,17%,-37%,3%,747,43%,-97.688053,30.245124
78744,26%,"41,056",9%,77%,8%,9%,23%,93%,7%,24%,8%,946,"108,100",0.70%,35%,13%,6%,22%,33%,81%,87%,100%,100%,89%,26%,44%,63%,708,40%,-97.76001336,30.1788256
78745,16%,"49,243",7%,40%,11%,7%,6%,33%,8%,7%,2%,990,"166,200",0.70%,21%,1%,6%,24%,3%,72%,29%,99%,96%,73%,30%,83%,76%,668,35%,-97.79420218,30.20138457
78746,5%,"125,327",10%,8%,6%,4%,7%,1%,4%,0%,0%,"1,221","619,900",0.10%,12%,0%,4%,8%,0%,48%,1%,94%,6%,32%,32%,80%,14%,786,29%,-97.8299,30.2962
78748,9%,"65,889",10%,35%,9%,6%,8%,29%,4%,7%,3%,"1,095","185,500",0.60%,74%,0%,4%,12%,0%,63%,22%,100%,92%,260%,29%,58%,40%,747,44%,-97.822205,30.178196
78749,6%,"80,956",13%,20%,7%,4%,7%,5%,1%,1%,0%,"1,150","233,900",0.30%,32%,0%,1%,6%,0%,57%,3%,97%,70%,171%,25%,61%,37%,708,40%,-97.836008,30.211278
78750,7%,"75,958",16%,16%,9%,6%,6%,19%,2%,0%,0%,"1,012","303,100",0.30%,32%,4%,1%,15%,5%,70%,15%,99%,51%,104%,20%,64%,21%,747,33%,-97.80172791,30.460423
78751,26%,"38,624",11%,14%,6%,9%,2%,11%,13%,1%,0%,865,"292,200",0.40%,7%,0%,9%,38%,2%,68%,10%,97%,42%,23%,38%,97%,98%,550,40%,-97.714957,30.316671
78752,32%,"33,271",19%,57%,11%,9%,8%,43%,20%,7%,2%,752,"153,000",0.80%,15%,5%,14%,55%,8%,92%,39%,100%,86%,8%,17%,71%,80%,629,37%,-97.714785,30.337701
78753,26%,"39,593",20%,60%,10%,9%,16%,78%,14%,17%,4%,826,"134,900",0.70%,19%,8%,11%,40%,24%,89%,75%,100%,98%,128%,26%,40%,59%,708,44%,-97.69155233,30.3365467
78754,11%,"53,274",36%,32%,8%,9%,7%,70%,4%,9%,5%,969,"167,600",0.20%,132%,1%,1%,22%,4%,74%,59%,100%,100%,286%,33%,33%,19%,708,41%,-97.64488191,30.38880659
78756,9%,"59,685",8%,9%,12%,4%,2%,20%,17%,6%,0%,888,"342,300",0.60%,8%,2%,13%,34%,3%,76%,19%,99%,37%,-20%,47%,99%,90%,550,40%,-97.73956929,30.3301222
78757,16%,"55,156",5%,25%,10%,6%,5%,21%,8%,4%,1%,895,"253,300",0.70%,10%,2%,6%,32%,8%,75%,21%,100%,56%,103%,24%,93%,79%,590,36%,-97.728433,30.338875
78758,24%,"41,792",22%,46%,9%,10%,10%,71%,11%,9%,2%,898,"144,200",0.80%,4%,13%,8%,32%,23%,83%,69%,99%,99%,128%,20%,49%,75%,668,40%,-97.70164239,30.39517141
78759,7%,"65,672",18%,11%,8%,7%,2%,13%,3%,1%,0%,962,"307,800",0.20%,1%,2%,2%,18%,3%,75%,13%,99%,45%,60%,7%,60%,28%,629,40%,-97.75509,30.421089
